family,library,operation,size_bytes,mean_mib_per_s,median_mib_per_s,min_mib_per_s,max_mib_per_s
base64url,b64rs,decode,16,273.662533,268.763678,266.138575,285.584673
base64url,b64rs,decode,17,281.887532,278.459403,272.085110,295.675215
base64url,b64rs,decode,19,326.671737,322.600271,314.427223,340.610775
base64url,b64rs,decode,20,343.964713,334.669538,333.662556,358.659013
base64url,b64rs,decode,22,363.413254,359.150176,356.877615,382.108891
base64url,b64rs,decode,23,377.777198,368.833181,362.110960,396.674430
base64url,b64rs,decode,25,433.802870,429.939372,422.263786,446.493462
base64url,b64rs,decode,27,415.766829,413.018198,410.581474,428.724718
base64url,b64rs,decode,29,486.608013,480.866488,477.594722,513.356260
base64url,b64rs,decode,32,522.698594,524.843981,502.528951,550.183495
base64url,b64rs,decode,34,558.384605,545.966101,537.637651,582.051532
base64url,b64rs,decode,37,574.091260,566.369454,561.860286,609.492343
base64url,b64rs,decode,40,628.841707,634.323933,599.983842,640.114318
base64url,b64rs,decode,43,658.621976,637.247303,633.992386,695.085020
base64url,b64rs,decode,46,629.769262,629.122551,617.025403,642.361802
base64url,b64rs,decode,50,738.648395,725.111306,723.775843,792.282902
base64url,b64rs,decode,53,773.924755,770.027930,765.884431,784.432761
base64url,b64rs,decode,58,868.587185,839.039051,833.098764,920.174962
base64url,b64rs,decode,62,904.298969,866.137881,856.201152,971.353913
base64url,b64rs,decode,67,650.025164,645.518701,636.485565,676.314440
base64url,b64rs,decode,72,664.347918,651.801358,651.227806,684.913858
base64url,b64rs,decode,78,750.807335,753.020390,727.562405,772.718457
base64url,b64rs,decode,84,750.967257,753.782569,699.163236,793.866855
base64url,b64rs,decode,91,811.495373,799.264835,792.377428,835.910907
base64url,b64rs,decode,98,878.833480,873.411518,868.763518,904.864646
base64url,b64rs,decode,105,953.890672,945.637252,936.451129,995.669635
base64url,b64rs,decode,113,989.360893,977.418519,949.361799,1024.577360
base64url,b64rs,decode,122,1037.530609,1030.316527,1026.257627,1071.378527
base64url,b64rs,decode,132,1128.638439,1110.549351,1096.632193,1164.958295
base64url,b64rs,decode,142,1196.613432,1175.709166,1173.605599,1234.236529
base64url,b64rs,decode,153,1164.999122,1182.103597,1133.353134,1189.157357
base64url,b64rs,decode,165,1346.906241,1346.410527,1309.367993,1392.551655
base64url,b64rs,decode,178,1398.601426,1387.271142,1366.080646,1435.472418
base64url,b64rs,decode,192,1415.563388,1415.234345,1409.776577,1422.071654
base64url,b64rs,decode,207,1597.294798,1584.316911,1577.356733,1636.045469
base64url,b64rs,decode,224,1745.829759,1742.373891,1726.360922,1790.971825
base64url,b64rs,decode,241,1696.458505,1692.885021,1645.485710,1745.733730
base64url,b64rs,decode,260,1947.388523,1919.330483,1910.937088,1998.325559
base64url,b64rs,decode,280,1928.712172,1941.668998,1860.792487,1959.355224
base64url,b64rs,decode,302,2121.217512,2149.612256,2071.454321,2157.598952
base64url,b64rs,decode,326,2020.902547,2011.899541,1902.310420,2218.970278
base64url,b64rs,decode,351,2312.548417,2292.982201,2267.440048,2357.969429
base64url,b64rs,decode,379,2254.105978,2255.386845,2196.015463,2347.997644
base64url,b64rs,decode,408,2202.496130,2187.765534,2148.743435,2254.203646
base64url,b64rs,decode,440,2276.542631,2337.191512,2077.436550,2354.891753
base64url,b64rs,decode,475,2464.741073,2465.326173,2450.445237,2482.969511
base64url,b64rs,decode,512,2418.850851,2398.725278,2393.368655,2495.859764
base64url,b64rs,decode,552,2647.372633,2638.710764,2629.827323,2693.125855
base64url,b64rs,decode,595,2540.908169,2604.711912,2363.549289,2653.089624
base64url,b64rs,decode,642,2784.023484,2756.613677,2743.374366,2843.125374
base64url,b64rs,decode,692,2942.892789,2939.380687,2922.853385,2963.304580
base64url,b64rs,decode,746,3059.242621,3072.423564,3013.900295,3089.267127
base64url,b64rs,decode,805,3045.725557,3025.722718,3020.259424,3091.576853
base64url,b64rs,decode,868,3133.933015,3161.131612,3060.060634,3189.140753
base64url,b64rs,decode,935,3216.655797,3194.876236,3184.912797,3262.543965
base64url,b64rs,decode,1009,3214.514962,3230.174247,3129.403565,3300.031839
base64url,b64rs,decode,1088,3431.840868,3423.047078,3401.095132,3487.916717
base64url,b64rs,decode,1173,3445.014212,3448.958618,3385.999814,3483.615399
base64url,b64rs,decode,1264,3557.399601,3541.972538,3530.743357,3605.552517
base64url,b64rs,decode,1363,3519.373895,3520.931024,3492.603088,3534.204087
base64url,b64rs,decode,1470,3598.889884,3595.515694,3594.508985,3613.281322
base64url,b64rs,decode,1585,3626.699953,3636.436177,3590.713825,3656.357177
base64url,b64rs,decode,1709,3441.978473,3616.242454,2651.763068,3681.799197
base64url,b64rs,decode,1843,3754.748564,3756.906837,3722.906619,3799.382773
base64url,b64rs,decode,1987,3768.993123,3776.609246,3731.388090,3791.689086
base64url,b64rs,decode,2143,3798.782334,3784.773894,3762.353646,3843.602078
base64url,b64rs,decode,2310,3787.180987,3791.656018,3768.983478,3799.913839
base64url,b64rs,decode,2491,3891.881579,3901.698412,3843.035294,3912.959078
base64url,b64rs,decode,2686,3881.439814,3923.549736,3622.964776,3987.272415
base64url,b64rs,decode,2896,3921.032995,3913.201949,3871.897534,4002.327902
base64url,b64rs,decode,3123,3935.006612,3938.264045,3922.442836,3942.912841
base64url,b64rs,decode,3367,3943.774036,3943.373814,3938.791088,3949.956869
base64url,b64rs,decode,3631,3912.026171,3899.882204,3858.244800,4008.202225
base64url,b64rs,decode,3915,3902.804955,3910.300593,3871.392130,3922.298009
base64url,b64rs,decode,4096,3963.065119,3929.787327,3915.442008,4027.967979
base64url,b64rs,decode,4552,3949.769086,3932.065665,3922.451217,4036.773791
base64url,b64rs,decode,4908,3877.208635,3907.936038,3661.869292,3962.384246
base64url,b64rs,decode,5292,4020.454468,4022.134317,3994.714569,4056.566780
base64url,b64rs,decode,5706,3952.447209,3971.827784,3855.654214,3982.965270
base64url,b64rs,decode,6152,3883.009437,3887.937477,3836.592047,3954.766928
base64url,b64rs,decode,6634,3921.294627,3866.563113,3855.925911,4038.560579
base64url,b64rs,decode,7153,3990.515226,4011.908160,3880.067393,4056.252616
base64url,b64rs,decode,7713,3949.390427,3969.375996,3830.363301,4011.303859
base64url,b64rs,decode,8316,3799.706351,3802.841507,3775.997920,3829.204997
base64url,b64rs,decode,8967,3878.700823,3888.093177,3741.540072,4016.358180
base64url,b64rs,decode,9669,3883.971196,4070.448843,3450.506000,4132.137601
base64url,b64rs,decode,10425,3943.384509,3930.225798,3911.405102,4002.127798
base64url,b64rs,decode,11241,4157.287624,4164.709889,4118.139858,4170.095573
base64url,b64rs,decode,12121,4147.122312,4171.112341,3987.789993,4222.106512
base64url,b64rs,decode,13069,4194.145770,4193.480737,4181.665190,4204.446816
base64url,b64rs,decode,14092,3666.851937,3708.500659,3487.799988,3747.815620
base64url,b64rs,decode,15195,4268.954216,4263.526992,4245.676262,4289.638184
base64url,b64rs,decode,16384,4296.641870,4301.564347,4278.147232,4304.107671
base64url,b64rs,decode,17666,4320.339500,4317.932672,4304.103472,4341.089119
base64url,b64rs,decode,19049,4357.600811,4354.231738,4344.603582,4385.578812
base64url,b64rs,decode,20539,4144.545166,4089.473461,4068.069236,4291.068164
base64url,b64rs,decode,22146,4372.557507,4372.350113,4360.654247,4384.794484
base64url,b64rs,decode,23879,4214.732004,4219.423746,4169.645303,4249.207914
base64url,b64rs,decode,25748,4644.127977,4660.732993,4526.499531,4734.192289
base64url,b64rs,decode,27763,4493.383631,4474.738812,4435.294082,4553.431950
base64url,b64rs,decode,29935,4377.400009,4369.334867,4359.853340,4422.440956
base64url,b64rs,decode,32278,4659.996819,4665.140373,4548.107940,4738.177271
base64url,b64rs,decode,34804,4316.233844,4301.420676,4193.676477,4415.818724
base64url,b64rs,decode,37527,4390.738829,4395.352998,4301.672023,4491.937508
base64url,b64rs,decode,40464,4422.675166,4426.708339,4408.709189,4429.155612
base64url,b64rs,decode,43630,4214.893347,4210.505765,4182.636790,4250.204339
base64url,b64rs,decode,47045,4439.683070,4435.817964,4395.799038,4479.662535
base64url,b64rs,decode,50726,4114.368594,4112.394212,4079.283758,4155.521312
base64url,b64rs,decode,54695,4213.675468,4298.729388,3823.186546,4358.912133
base64url,b64rs,decode,58975,4293.697396,4313.981037,4233.102046,4329.056024
base64url,b64rs,decode,65536,4363.290925,4371.831726,4265.947821,4434.472488
base64url,b64rs,decode,68567,4367.015829,4399.526869,4253.679683,4428.998037
base64url,b64rs,decode,73932,4329.729130,4324.912431,4247.672405,4409.208547
base64url,b64rs,decode,79717,4332.095594,4328.942024,4297.660565,4359.498340
base64url,b64rs,decode,85956,4293.801145,4348.877456,4186.938613,4368.715977
base64url,b64rs,decode,92682,4478.207204,4433.117744,4405.679179,4586.140889
base64url,b64rs,decode,99935,4306.424808,4331.526164,4183.833860,4387.385985
base64url,b64rs,decode,107755,3907.981711,3978.727399,3510.731584,4289.361560
base64url,b64rs,decode,116187,4501.514396,4567.367760,4199.850175,4613.826744
base64url,b64rs,decode,125279,4573.302673,4613.220499,4410.337332,4709.618590
base64url,b64rs,decode,135082,4570.979446,4611.723582,4462.636217,4627.751286
base64url,b64rs,decode,145653,4377.727910,4439.732114,4098.186009,4524.196760
base64url,b64rs,decode,157051,4327.772492,4341.252409,4110.409836,4559.706591
base64url,b64rs,decode,169340,4277.295306,4281.768595,4215.201848,4355.215774
base64url,b64rs,decode,182592,4449.838946,4431.972693,4413.887319,4499.664135
base64url,b64rs,decode,196880,4510.153718,4513.920691,4436.831042,4606.468007
base64url,b64rs,decode,212286,4075.140293,4083.162040,4051.318444,4087.126408
base64url,b64rs,decode,228898,4336.747759,4328.398378,4300.808548,4384.365985
base64url,b64rs,decode,246810,4167.734698,4156.110774,4101.539188,4297.729567
base64url,b64rs,decode,266124,4443.353193,4432.275628,4396.077009,4523.136733
base64url,b64rs,decode,286949,4486.454799,4477.025368,4419.769498,4561.241812
base64url,b64rs,decode,309404,4207.600970,4144.607069,4017.243689,4524.632064
base64url,b64rs,decode,333615,4534.330228,4539.002165,4512.767618,4546.717426
base64url,b64rs,decode,359722,4518.065992,4605.569338,4205.188847,4615.434011
base64url,b64rs,decode,387871,4551.195476,4601.600716,4431.947666,4626.705088
base64url,b64rs,decode,418223,3700.435946,3982.324834,2553.781933,4364.666541
base64url,b64rs,decode,450950,3626.456184,4044.131109,2487.276828,4150.431213
base64url,b64rs,decode,486238,4061.683799,4083.575568,3981.818493,4102.702939
base64url,b64rs,decode,524288,3329.148389,3378.989923,3204.027921,3410.163505
base64url,b64rs,decode,565315,3404.642080,3433.397859,3248.978544,3472.714837
base64url,b64rs,decode,609553,3426.948305,3385.245394,3361.511350,3559.673927
base64url,b64rs,decode,657252,3530.702128,3609.878266,3294.729345,3620.303253
base64url,b64rs,decode,708684,3601.649147,3675.496132,3287.683186,3693.790511
base64url,b64rs,decode,764140,3502.443427,3529.010616,3416.074641,3570.799635
base64url,b64rs,decode,823937,3760.756683,3750.209382,3717.872946,3839.419712
base64url,b64rs,decode,888412,3694.156025,3722.536895,3588.906681,3767.283646
base64url,b64rs,decode,957933,3608.907570,3708.694070,3412.582308,3742.326182
base64url,b64rs,decode,1048576,3499.850350,3518.735724,3309.624038,3612.854155
base64url,b64rs,decode,1113721,3699.474159,3668.493437,3646.453015,3771.423394
base64url,b64rs,decode,1200873,3068.998047,3102.494339,2754.538134,3429.881710
base64url,b64rs,decode,1294845,3050.684528,3121.058850,2789.672125,3259.056207
base64url,b64rs,decode,1396170,3883.534102,3876.494154,3845.583452,3932.873640
base64url,b64rs,decode,1505425,3884.373451,3898.608259,3807.009237,3928.003168
base64url,b64rs,decode,1623229,3263.188045,3268.222015,3194.239505,3302.675081
base64url,b64rs,decode,1750251,3890.756588,3894.872915,3836.926080,3918.876925
base64url,b64rs,decode,1887213,3861.494453,3865.470663,3845.075372,3869.626135
base64url,b64rs,decode,2034893,3862.543152,3862.667817,3820.331581,3905.315569
base64url,b64rs,decode,2194130,3902.525970,3901.053504,3875.702902,3924.740598
base64url,b64rs,decode,2365827,3517.716807,3547.207233,3401.776776,3568.787201
base64url,b64rs,decode,2550960,3838.644143,3820.576519,3786.435851,3934.021022
base64url,b64rs,decode,2750580,3665.494132,3756.430994,3450.917604,3787.649208
base64url,b64rs,decode,2965821,3439.079481,3469.698832,3249.437808,3617.270545
base64url,b64rs,decode,3197905,3433.270932,3420.586527,3282.751014,3565.580512
base64url,b64rs,decode,3448150,3697.721155,3674.419536,3605.819062,3783.102527
base64url,b64rs,decode,3717978,3730.517378,3730.129502,3640.693346,3819.061036
base64url,b64rs,decode,4008921,3536.147174,3562.324124,3330.608062,3684.306634
base64url,b64rs,decode,4194304,3866.272154,3864.295050,3757.217449,3994.008987
base64url,b64rs,decode,4660890,3765.179701,3795.090574,3382.466582,4148.656441
base64url,b64rs,decode,5025618,3971.937685,3928.741579,3873.911098,4148.654981
base64url,b64rs,decode,5418887,3983.214854,4004.203281,3864.950825,4088.491579
base64url,b64rs,decode,5842931,4049.489118,4015.748939,3866.934925,4219.869462
base64url,b64rs,decode,6300158,4045.002107,4084.982533,3829.381054,4247.322169
base64url,b64rs,decode,6793164,4070.939100,4062.197251,3839.918440,4293.864753
base64url,b64rs,decode,7324749,4020.257589,4026.181554,3837.302239,4195.702442
base64url,b64rs,decode,7897932,4317.603750,4324.711950,4203.896455,4440.656689
