family,library,operation,size_bytes,iterations,run,elapsed_us,mib_per_s
standard,otp-base64,encode,16,500000,1,33957,224.678109
standard,otp-base64,encode,16,500000,2,38370,198.837491
standard,otp-base64,encode,16,500000,3,32841,232.313100
standard,otp-base64,encode,16,500000,4,36287,210.251455
standard,otp-base64,encode,16,500000,5,36290,210.234074
standard,otp-base64,decode,16,500000,1,43923,173.699304
standard,otp-base64,decode,16,500000,2,38606,197.621990
standard,otp-base64,decode,16,500000,3,46590,163.756053
standard,otp-base64,decode,16,500000,4,46619,163.654187
standard,otp-base64,decode,16,500000,5,38294,199.232113
standard,b64fast,encode,16,500000,1,107592,70.910426
standard,b64fast,encode,16,500000,2,106524,71.621367
standard,b64fast,encode,16,500000,3,107682,70.851159
standard,b64fast,encode,16,500000,4,107444,71.008102
standard,b64fast,encode,16,500000,5,108079,70.590906
standard,b64fast,decode,16,500000,1,108662,70.212167
standard,b64fast,decode,16,500000,2,106798,71.437616
standard,b64fast,decode,16,500000,3,107496,70.973753
standard,b64fast,decode,16,500000,4,105588,72.256265
standard,b64fast,decode,16,500000,5,106444,71.675196
standard,b64veryfast,encode,16,500000,1,10570,721.797023
standard,b64veryfast,encode,16,500000,2,10386,734.584492
standard,b64veryfast,encode,16,500000,3,10352,736.997153
standard,b64veryfast,encode,16,500000,4,10376,735.292457
standard,b64veryfast,encode,16,500000,5,10342,737.709779
standard,b64veryfast,decode,16,500000,1,11110,686.714179
standard,b64veryfast,decode,16,500000,2,11179,682.475582
standard,b64veryfast,decode,16,500000,3,11011,692.888433
standard,b64veryfast,decode,16,500000,4,10968,695.604899
standard,b64veryfast,decode,16,500000,5,9981,764.391798
standard,b64veryfast-trusted,decode,16,500000,1,11020,692.322553
standard,b64veryfast-trusted,decode,16,500000,2,9271,822.931133
standard,b64veryfast-trusted,decode,16,500000,3,10929,698.087156
standard,b64veryfast-trusted,decode,16,500000,4,11024,692.071347
standard,b64veryfast-trusted,decode,16,500000,5,9222,827.303679
base64url,otp-base64-url,encode,16,500000,1,36589,208.516071
base64url,otp-base64-url,encode,16,500000,2,32495,234.786722
base64url,otp-base64-url,encode,16,500000,3,37947,201.053958
base64url,otp-base64-url,encode,16,500000,4,36721,207.766524
base64url,otp-base64-url,encode,16,500000,5,36390,209.656349
base64url,otp-base64-url,decode,16,500000,1,39031,195.470127
base64url,otp-base64-url,decode,16,500000,2,38440,198.475404
base64url,otp-base64-url,decode,16,500000,3,35987,212.004183
base64url,otp-base64-url,decode,16,500000,4,39999,190.739632
base64url,otp-base64-url,decode,16,500000,5,40203,189.771772
base64url,b64rs,encode,16,500000,1,18666,408.732162
base64url,b64rs,encode,16,500000,2,18519,411.976593
base64url,b64rs,encode,16,500000,3,18655,408.973172
base64url,b64rs,encode,16,500000,4,18594,410.314861
base64url,b64rs,encode,16,500000,5,18359,415.566999
base64url,b64rs,decode,16,500000,1,29472,258.869250
base64url,b64rs,decode,16,500000,2,28928,263.737366
base64url,b64rs,decode,16,500000,3,29058,262.557455
base64url,b64rs,decode,16,500000,4,28454,268.130826
base64url,b64rs,decode,16,500000,5,27733,275.101667
base64url,b64veryfast-url,encode,16,500000,1,10628,717.857972
base64url,b64veryfast-url,encode,16,500000,2,8984,849.220228
base64url,b64veryfast-url,encode,16,500000,3,10667,715.233386
base64url,b64veryfast-url,encode,16,500000,4,10606,719.347024
base64url,b64veryfast-url,encode,16,500000,5,10557,722.685851
base64url,b64veryfast-url,decode,16,500000,1,10928,698.151037
base64url,b64veryfast-url,decode,16,500000,2,10413,732.679778
base64url,b64veryfast-url,decode,16,500000,3,10636,717.318027
base64url,b64veryfast-url,decode,16,500000,4,10605,719.414854
base64url,b64veryfast-url,decode,16,500000,5,9761,781.620175
base64url,b64veryfast-url-trusted,decode,16,500000,1,10640,717.048358
base64url,b64veryfast-url-trusted,decode,16,500000,2,8979,849.693121
base64url,b64veryfast-url-trusted,decode,16,500000,3,10716,711.962909
base64url,b64veryfast-url-trusted,decode,16,500000,4,10532,724.401304
base64url,b64veryfast-url-trusted,decode,16,500000,5,9205,828.831562
standard,otp-base64,encode,23,500000,1,40430,271.265264
